,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-05-04,33837887,1020405017,29.3,30.8,29.05,30.05,1.05,15205
1,2020-05-05,9493206,313750442,33.05,33.05,33.05,33.05,3.0,3130
2,2020-05-06,7112787,258549794,36.35,36.35,36.35,36.35,3.3,1855
3,2020-05-07,6358798,254033954,39.95,39.95,39.95,39.95,3.6,1601
4,2020-05-08,206541723,8543086576,43.9,43.9,36.7,37.75,-2.2,80799
5,2020-05-11,116137976,4593306480,39.0,41.5,36.7,40.75,3.0,47392
6,2020-05-12,81938909,3382376924,40.5,42.35,39.6,41.7,0.95,37081
7,2020-05-13,58834678,2457599489,41.9,42.3,40.85,41.7,0.0,24966
8,2020-05-14,98380828,4243664091,42.0,44.75,41.0,42.05,0.35,45901
9,2020-05-15,52434613,2254202310,43.45,43.8,42.05,43.35,1.3,23314
10,2020-05-18,56680810,2607046523,44.3,47.65,44.05,47.65,4.3,23308
11,2020-05-19,138685082,7074548523,52.4,52.4,49.0,52.4,4.75,58109
12,2020-05-20,137906540,7551857872,52.3,57.5,51.0,55.0,2.6,67001
13,2020-05-21,28574935,1547732359,56.0,56.0,52.8,54.0,-1.0,15785
14,2020-05-22,30629441,1739398375,54.7,58.7,54.0,58.0,4.0,17118
15,2020-05-25,31709702,1971940664,60.6,63.8,60.0,63.8,5.8,16613
